"","ID","Chrom","Start","Stop","Strand","Name"
"ENSMUSG00000002603","ENSMUSG00000002603","chr7",25687002,25705077,"+","Tgfb1"
"ENSMUSG00000002608","ENSMUSG00000002608","chr7",25711106,25719088,"-","Ccdc97"
"ENSMUSG00000040725","ENSMUSG00000040725","chr7",25721165,25754757,"-","Hnrnpul1"
"ENSMUSG00000002602","ENSMUSG00000002602","chr7",25757273,25788705,"-","Axl"
"ENSMUSG00000040703","ENSMUSG00000040703","chr7",25802475,25816913,"-","Cyp2s1"
"ENSMUSG00000097017","ENSMUSG00000097017","chr7",25816654,25820654,"+","Gm26707"
"ENSMUSG00000108415","ENSMUSG00000108415","chr7",25860140,25869883,"+","Gm30146"
"ENSMUSG00000030483","ENSMUSG00000030483","chr7",25897620,25926624,"+","Cyp2b10"
"ENSMUSG00000040614","ENSMUSG00000040614","chr7",26322473,26403700,"-","Nlrp9c"
"ENSMUSG00000040601","ENSMUSG00000040601","chr7",26435113,26476142,"+","Nlrp4a"
"ENSMUSG00000040650","ENSMUSG00000040650","chr7",26665227,26686437,"-","Cyp2b23"
"ENSMUSG00000060407","ENSMUSG00000060407","chr7",27029081,27037375,"+","Cyp2a12"
"ENSMUSG00000078787","ENSMUSG00000078787","chr7",27153714,27158668,"+","Cyp2t4"
"ENSMUSG00000058709","ENSMUSG00000058709","chr7",27158658,27166802,"-","Egln2"
"ENSMUSG00000053291","ENSMUSG00000053291","chr7",27168424,27178896,"-","Rab4b"
"ENSMUSG00000089661","ENSMUSG00000089661","chr7",27179742,27181157,"-","Mia"
"ENSMUSG00000061479","ENSMUSG00000061479","chr7",27187005,27196271,"-","Snrpa"
"ENSMUSG00000078786","ENSMUSG00000078786","chr7",27195781,27210186,"+","BC024978"
"ENSMUSG00000003752","ENSMUSG00000003752","chr7",27207172,27228661,"-","Itpkc"
"ENSMUSG00000003762","ENSMUSG00000003762","chr7",27233023,27257950,"+","Coq8b"
"ENSMUSG00000084974","ENSMUSG00000084974","chr7",27249263,27257932,"-","Gm15567"
"ENSMUSG00000063160","ENSMUSG00000063160","chr7",27258433,27282144,"+","Numbl"
"ENSMUSG00000040488","ENSMUSG00000040488","chr7",27305136,27337692,"-","Ltbp4"
"ENSMUSG00000089832","ENSMUSG00000089832","chr7",27342133,27356019,"-","Shkbp1"
"ENSMUSG00000011751","ENSMUSG00000011751","chr7",27356383,27447686,"-","Sptbn4"
"ENSMUSG00000040466","ENSMUSG00000040466","chr7",27447978,27466144,"+","Blvrb"
"ENSMUSG00000082016","ENSMUSG00000082016","chr7",27469771,27470535,"-","Pgam1-ps2"
"ENSMUSG00000055200","ENSMUSG00000055200","chr7",27473768,27477364,"+","Sertad3"
"ENSMUSG00000008384","ENSMUSG00000008384","chr7",27486910,27490316,"+","Sertad1"
"ENSMUSG00000053198","ENSMUSG00000053198","chr7",27497388,27520214,"+","Prx"
"ENSMUSG00000087371","ENSMUSG00000087371","chr7",27502718,27508122,"-","Gm15541"
"ENSMUSG00000040424","ENSMUSG00000040424","chr7",27523267,27531175,"+","Hipk4"
"ENSMUSG00000003363","ENSMUSG00000003363","chr7",27532000,27553218,"-","Pld3"
"ENSMUSG00000049643","ENSMUSG00000049643","chr7",27553233,27582099,"+","2310022A10Rik"
"ENSMUSG00000004056","ENSMUSG00000004056","chr7",27591552,27640826,"+","Akt2"
"ENSMUSG00000007944","ENSMUSG00000007944","chr7",27653915,27657346,"+","Ttc9b"
"ENSMUSG00000040390","ENSMUSG00000040390","chr7",27656375,27674598,"-","Map3k10"
"ENSMUSG00000108520","ENSMUSG00000108520","chr7",27674659,27677844,"-","Gm44684"
"ENSMUSG00000057093","ENSMUSG00000057093","chr7",27689340,27706484,"+","Zfp607b"
"ENSMUSG00000037640","ENSMUSG00000037640","chr7",27731389,27753702,"+","Zfp60"
"ENSMUSG00000109143","ENSMUSG00000109143","chr7",27765673,27770972,"+","Gm10046"
"ENSMUSG00000030604","ENSMUSG00000030604","chr7",27807196,27822916,"+","Zfp626"
"ENSMUSG00000078779","ENSMUSG00000078779","chr7",27838607,27856438,"+","Zfp59"
"ENSMUSG00000020420","ENSMUSG00000020420","chr7",27857527,27880825,"+","Zfp607a"
"ENSMUSG00000108314","ENSMUSG00000108314","chr7",27882755,27884510,"-","Prkcz2"
"ENSMUSG00000070709","ENSMUSG00000070709","chr7",27907392,27929460,"-","Zfp974"
"ENSMUSG00000063047","ENSMUSG00000063047","chr7",27959135,27979171,"-","Zfp780b"
"ENSMUSG00000096916","ENSMUSG00000096916","chr7",27984854,28014115,"-","Zfp850"
"ENSMUSG00000030603","ENSMUSG00000030603","chr7",28041707,28050101,"-","Psmc4"
"ENSMUSG00000047730","ENSMUSG00000047730","chr7",28071236,28120862,"+","Fcgbp"
"ENSMUSG00000078776","ENSMUSG00000078776","chr7",28129466,28164811,"+","9530053A07Rik"
"ENSMUSG00000109015","ENSMUSG00000109015","chr7",28167275,28169627,"-","Gm31024"
"ENSMUSG00000046865","ENSMUSG00000046865","chr7",28169710,28179269,"+","Fbl"
"ENSMUSG00000002409","ENSMUSG00000002409","chr7",28179469,28187294,"+","Dyrk1b"
"ENSMUSG00000046058","ENSMUSG00000046058","chr7",28267881,28269272,"+","Eid2"
"ENSMUSG00000070705","ENSMUSG00000070705","chr7",28277739,28279489,"+","Eid2b"
"ENSMUSG00000003436","ENSMUSG00000003436","chr7",28293553,28302238,"-","Dll3"
"ENSMUSG00000003438","ENSMUSG00000003438","chr7",28305516,28312072,"-","Timm50"
"ENSMUSG00000003435","ENSMUSG00000003435","chr7",28314891,28338746,"-","Supt5"
"ENSMUSG00000037563","ENSMUSG00000037563","chr7",28350652,28353155,"+","Rps16"
"ENSMUSG00000077711","ENSMUSG00000077711","chr7",28351508,28351632,"+","AF357399"
"ENSMUSG00000037552","ENSMUSG00000037552","chr7",28359604,28372599,"-","Plekhg2"
"ENSMUSG00000044786","ENSMUSG00000044786","chr7",28376784,28380253,"-","Zfp36"
"ENSMUSG00000003444","ENSMUSG00000003444","chr7",28386146,28392708,"-","Med29"
"ENSMUSG00000003437","ENSMUSG00000003437","chr7",28392951,28399388,"+","Paf1"
"ENSMUSG00000109336","ENSMUSG00000109336","chr7",28399522,28598144,"-","Samd4b"
"ENSMUSG00000060791","ENSMUSG00000060791","chr7",28437447,28448233,"+","Gmfg"
"ENSMUSG00000030600","ENSMUSG00000030600","chr7",28451980,28468242,"+","Lrfn1"
"ENSMUSG00000099417","ENSMUSG00000099417","chr7",28492550,28497713,"+","1700028B04Rik"
"ENSMUSG00000030602","ENSMUSG00000030602","chr7",28558819,28598185,"-","Pak4"
"ENSMUSG00000037469","ENSMUSG00000037469","chr7",28607276,28631332,"-","Acp7"
"ENSMUSG00000037463","ENSMUSG00000037463","chr7",28692849,28699338,"+","Fbxo27"
"ENSMUSG00000030598","ENSMUSG00000030598","chr7",28716804,28738144,"+","Fbxo17"
"ENSMUSG00000045948","ENSMUSG00000045948","chr7",28739641,28741820,"-","Mrps12"
"ENSMUSG00000070699","ENSMUSG00000070699","chr7",28741992,28753871,"+","Sars2"
"ENSMUSG00000030595","ENSMUSG00000030595","chr7",28758251,28767512,"-","Nfkbib"
"ENSMUSG00000015149","ENSMUSG00000015149","chr7",28766735,28788661,"+","Sirt2"
"ENSMUSG00000051735","ENSMUSG00000051735","chr7",28788969,28798963,"+","Rinl"
"ENSMUSG00000015165","ENSMUSG00000015165","chr7",28808541,28822266,"+","Hnrnpl"
"ENSMUSG00000109420","ENSMUSG00000109420","chr7",28809304,28810497,"-","Gm44702"
"ENSMUSG00000053898","ENSMUSG00000053898","chr7",28825217,28832247,"+","Ech1"
"ENSMUSG00000053964","ENSMUSG00000053964","chr7",28833854,28841708,"+","Lgals4"
"ENSMUSG00000053522","ENSMUSG00000053522","chr7",28863853,28866284,"+","Lgals7"
"ENSMUSG00000054083","ENSMUSG00000054083","chr7",28881422,28893563,"+","Capn12"
"ENSMUSG00000054808","ENSMUSG00000054808","chr7",28893248,28962340,"-","Actn4"
"ENSMUSG00000109314","ENSMUSG00000109314","chr7",28920951,28943528,"-","Gm44699"
"ENSMUSG00000053565","ENSMUSG00000053565","chr7",28971372,28981864,"-","Eif3k"
"ENSMUSG00000037337","ENSMUSG00000037337","chr7",28982050,29003279,"+","Map4k1"
"ENSMUSG00000030592","ENSMUSG00000030592","chr7",29003344,29125179,"-","Ryr1"
"ENSMUSG00000109017","ENSMUSG00000109017","chr7",29029023,29030250,"+","Gm38979"
"ENSMUSG00000030589","ENSMUSG00000030589","chr7",29134851,29153961,"+","Rasgrp4"
"ENSMUSG00000030590","ENSMUSG00000030590","chr7",29152510,29156234,"-","Fam98c"
"ENSMUSG00000037239","ENSMUSG00000037239","chr7",29158829,29170411,"-","Spred3"
"ENSMUSG00000031493","ENSMUSG00000031493","chr7",29170210,29173976,"+","Ggn"
"ENSMUSG00000030591","ENSMUSG00000030591","chr7",29174188,29180701,"-","Psmd8"
"ENSMUSG00000049676","ENSMUSG00000049676","chr7",29181321,29214035,"-","Catsperg1"
"ENSMUSG00000046410","ENSMUSG00000046410","chr7",29221926,29232515,"-","Kcnk6"
"ENSMUSG00000030588","ENSMUSG00000030588","chr7",29238329,29247597,"+","Yif1b"
"ENSMUSG00000030587","ENSMUSG00000030587","chr7",29246561,29248466,"-","2200002D01Rik"
"ENSMUSG00000074227","ENSMUSG00000074227","chr7",29256323,29281912,"-","Spint2"
"ENSMUSG00000037166","ENSMUSG00000037166","chr7",29289308,29293801,"+","Ppp1r14a"
"ENSMUSG00000030584","ENSMUSG00000030584","chr7",29303951,29318243,"+","Dpf1"
"ENSMUSG00000030583","ENSMUSG00000030583","chr7",29320372,29518641,"-","Sipa1l3"
"ENSMUSG00000049123","ENSMUSG00000049123","chr7",29697219,29727032,"-","Catsperg2"
"ENSMUSG00000046185","ENSMUSG00000046185","chr7",29768552,29779821,"+","Zfp84"
"ENSMUSG00000047473","ENSMUSG00000047473","chr7",29783998,29794702,"+","Zfp30"
"ENSMUSG00000011427","ENSMUSG00000011427","chr7",29816114,29831005,"+","Zfp790"
"ENSMUSG00000050855","ENSMUSG00000050855","chr7",29833620,29853669,"-","Zfp940"
"ENSMUSG00000058402","ENSMUSG00000058402","chr7",29859979,29877292,"+","Zfp420"
"ENSMUSG00000062040","ENSMUSG00000062040","chr7",29893333,29906572,"-","Zfp27"
"ENSMUSG00000099689","ENSMUSG00000099689","chr7",29908223,29916813,"+","Zfp383"
"ENSMUSG00000059975","ENSMUSG00000059975","chr7",29930815,29954089,"-","Zfp74"
"ENSMUSG00000063623","ENSMUSG00000063623","chr7",29953621,29970352,"+","C230062I16Rik"
"ENSMUSG00000074221","ENSMUSG00000074221","chr7",29983955,30028282,"+","Zfp568"
"ENSMUSG00000053985","ENSMUSG00000053985","chr7",30036359,30051380,"-","Zfp14"
"ENSMUSG00000098022","ENSMUSG00000098022","chr7",30054489,30072900,"-","Zfp82"
"ENSMUSG00000078768","ENSMUSG00000078768","chr7",30077337,30090527,"-","Zfp566"
"ENSMUSG00000109218","ENSMUSG00000109218","chr7",30085468,30085887,"+","Gm44872"
"ENSMUSG00000049421","ENSMUSG00000049421","chr7",30094777,30107622,"+","Zfp260"
"ENSMUSG00000074220","ENSMUSG00000074220","chr7",30121942,30134950,"+","Zfp382"
"ENSMUSG00000037029","ENSMUSG00000037029","chr7",30161269,30169750,"-","Zfp146"
"ENSMUSG00000066647","ENSMUSG00000066647","chr7",30169875,30182324,"+","Gm5113"
"ENSMUSG00000074218","ENSMUSG00000074218","chr7",30184144,30186078,"+","Cox7a1"
"ENSMUSG00000001794","ENSMUSG00000001794","chr7",30186936,30198811,"-","Capns1"
"ENSMUSG00000097817","ENSMUSG00000097817","chr7",30193954,30200889,"+","Gm26810"
"ENSMUSG00000006095","ENSMUSG00000006095","chr7",30224131,30232272,"-","Tbcb"
"ENSMUSG00000019738","ENSMUSG00000019738","chr7",30231948,30233390,"+","Polr2i"
"ENSMUSG00000100512","ENSMUSG00000100512","chr7",30233439,30235725,"-","Ovol3"
"ENSMUSG00000037020","ENSMUSG00000037020","chr7",30240138,30280419,"-","Wdr62"
"ENSMUSG00000081565","ENSMUSG00000081565","chr7",30263263,30263651,"+","Rps12-ps5"
"ENSMUSG00000013928","ENSMUSG00000013928","chr7",30280094,30290237,"+","Thap8"
"ENSMUSG00000013921","ENSMUSG00000013921","chr7",30291728,30308367,"+","Clip3"
"ENSMUSG00000042831","ENSMUSG00000042831","chr7",30308717,30314304,"+","Alkbh6"
"ENSMUSG00000019737","ENSMUSG00000019737","chr7",30314807,30319046,"+","Syne4"
"ENSMUSG00000074211","ENSMUSG00000074211","chr7",30321406,30323895,"-","Sdhaf1"
"ENSMUSG00000036957","ENSMUSG00000036957","chr7",30355489,30362772,"-","Lrfn3"
"ENSMUSG00000036931","ENSMUSG00000036931","chr7",30421732,30428746,"+","Nfkbid"
"ENSMUSG00000006651","ENSMUSG00000006651","chr7",30434982,30445535,"-","Aplp1"
"ENSMUSG00000036915","ENSMUSG00000036915","chr7",30447534,30457690,"-","Kirrel2"
"ENSMUSG00000006649","ENSMUSG00000006649","chr7",30458315,30487223,"+","Nphs1"
"ENSMUSG00000087009","ENSMUSG00000087009","chr7",30462164,30465591,"-","Nphs1os"
"ENSMUSG00000062132","ENSMUSG00000062132","chr7",30515122,30522193,"+","Arhgap33os"
"ENSMUSG00000036882","ENSMUSG00000036882","chr7",30522226,30535060,"-","Arhgap33"
"ENSMUSG00000036864","ENSMUSG00000036864","chr7",30539134,30552299,"-","Proser3"
"ENSMUSG00000036854","ENSMUSG00000036854","chr7",30552178,30555443,"+","Hspb6"
"ENSMUSG00000036845","ENSMUSG00000036845","chr7",30555441,30559838,"-","Lin37"
"ENSMUSG00000036835","ENSMUSG00000036835","chr7",30561863,30563627,"-","Psenen"
"ENSMUSG00000078765","ENSMUSG00000078765","chr7",30563301,30565365,"+","U2af1l4"
"ENSMUSG00000109378","ENSMUSG00000109378","chr7",30563344,30567960,"+","Gm49396"
"ENSMUSG00000006307","ENSMUSG00000006307","chr7",30568858,30588726,"-","Kmt2b"
"ENSMUSG00000006310","ENSMUSG00000006310","chr7",30589681,30598909,"-","Zbtb32"
"ENSMUSG00000006313","ENSMUSG00000006313","chr7",30603092,30612847,"-","Upk1a"
"ENSMUSG00000036751","ENSMUSG00000036751","chr7",30616861,30626151,"-","Cox6b1"
"ENSMUSG00000006311","ENSMUSG00000006311","chr7",30633616,30635852,"-","Etv2"
"ENSMUSG00000078762","ENSMUSG00000078762","chr7",30653711,30664994,"-","Haus5"
"ENSMUSG00000049761","ENSMUSG00000049761","chr7",30670722,30671605,"-","Pmis2"
"ENSMUSG00000006315","ENSMUSG00000006315","chr7",30727701,30729540,"-","Tmem147"
"ENSMUSG00000097320","ENSMUSG00000097320","chr7",30729579,30745929,"+","Tmem147os"
"ENSMUSG00000061099","ENSMUSG00000061099","chr7",30729775,30743681,"-","Gapdhs"
"ENSMUSG00000046056","ENSMUSG00000046056","chr7",30751471,30756134,"+","Sbsn"
"ENSMUSG00000060962","ENSMUSG00000060962","chr7",30763756,30781063,"+","Dmkn"
"ENSMUSG00000074199","ENSMUSG00000074199","chr7",30787896,30791097,"+","Krtdap"
"ENSMUSG00000051314","ENSMUSG00000051314","chr7",30818348,30823775,"-","Ffar2"
"ENSMUSG00000019429","ENSMUSG00000019429","chr7",30854330,30856178,"-","Ffar3"
"ENSMUSG00000030577","ENSMUSG00000030577","chr7",30865402,30880342,"-","Cd22"
"ENSMUSG00000058239","ENSMUSG00000058239","chr7",30945248,30956803,"-","Usf2"
"ENSMUSG00000097750","ENSMUSG00000097750","chr7",30956909,30961619,"+","Gm4673"
"ENSMUSG00000001247","ENSMUSG00000001247","chr7",30957770,30973464,"-","Lsr"
"ENSMUSG00000046826","ENSMUSG00000046826","chr7",30973790,30989726,"+","Fam187b"
"ENSMUSG00000009687","ENSMUSG00000009687","chr7",31032722,31042481,"-","Fxyd5"
"ENSMUSG00000001249","ENSMUSG00000001249","chr7",31098725,31115290,"-","Hpn"
"ENSMUSG00000019194","ENSMUSG00000019194","chr7",31116524,31127003,"-","Scn1b"
"ENSMUSG00000001248","ENSMUSG00000001248","chr7",31130127,31155896,"-","Gramd1a"
"ENSMUSG00000097149","ENSMUSG00000097149","chr7",31149528,31152707,"+","G630030J09Rik"
"ENSMUSG00000036459","ENSMUSG00000036459","chr7",34109543,34133268,"-","Wtip"
"ENSMUSG00000052997","ENSMUSG00000052997","chr7",34140688,34169599,"-","Uba2"
"ENSMUSG00000002635","ENSMUSG00000002635","chr7",34184499,34196661,"-","Pdcd2l"
"ENSMUSG00000036427","ENSMUSG00000036427","chr7",34201330,34230336,"-","Gpi1"
"ENSMUSG00000086526","ENSMUSG00000086526","chr7",34230420,34234102,"-","Gm12762"
"ENSMUSG00000085105","ENSMUSG00000085105","chr7",34234377,34240207,"+","Gm12758"
"ENSMUSG00000066571","ENSMUSG00000066571","chr7",34236707,34313551,"-","4931406P16Rik"
"ENSMUSG00000108737","ENSMUSG00000108737","chr7",34250252,34251355,"-","BC060293"
"ENSMUSG00000066568","ENSMUSG00000066568","chr7",34344646,34393315,"-","Lsm14a"
"ENSMUSG00000108447","ENSMUSG00000108447","chr7",34362701,34365331,"-","Gm44567"
"ENSMUSG00000082684","ENSMUSG00000082684","chr7",34383659,34384074,"+","Gm12774"
"ENSMUSG00000108732","ENSMUSG00000108732","chr7",34389732,34393612,"+","2310043P16Rik"
"ENSMUSG00000086631","ENSMUSG00000086631","chr7",34544472,34581691,"+","Gm12784"
"ENSMUSG00000030499","ENSMUSG00000030499","chr7",34639014,34656732,"-","Kctd15"
"ENSMUSG00000060402","ENSMUSG00000060402","chr7",34674468,34812711,"-","Chst8"
"ENSMUSG00000063931","ENSMUSG00000063931","chr7",34912379,35044708,"+","Pepd"
"ENSMUSG00000056216","ENSMUSG00000056216","chr7",35046422,35056573,"-","Cebpg"
"ENSMUSG00000108753","ENSMUSG00000108753","chr7",35052975,35053591,"-","Gm45094"
"ENSMUSG00000034957","ENSMUSG00000034957","chr7",35119293,35121928,"+","Cebpa"
"ENSMUSG00000001802","ENSMUSG00000001802","chr7",35200027,35215498,"-","Lrp3"
"ENSMUSG00000063808","ENSMUSG00000063808","chr7",35276536,35318440,"-","Gpatch1"
"ENSMUSG00000030494","ENSMUSG00000030494","chr7",35334170,35392289,"+","Rhpn2"
"ENSMUSG00000030493","ENSMUSG00000030493","chr7",35392152,35396836,"-","Faap24"
"ENSMUSG00000023072","ENSMUSG00000023072","chr7",35397035,35438689,"+","Cep89"
"ENSMUSG00000030492","ENSMUSG00000030492","chr7",35448796,35466036,"+","Slc7a9"
"ENSMUSG00000030491","ENSMUSG00000030491","chr7",35469098,35537745,"-","Tdrd12"
"ENSMUSG00000100068","ENSMUSG00000100068","chr7",35497455,35499717,"-","Gm18558"
"ENSMUSG00000034875","ENSMUSG00000034875","chr7",35547185,35556304,"-","Nudt19"
"ENSMUSG00000056043","ENSMUSG00000056043","chr7",35578993,35585582,"-","Rgs9bp"
"ENSMUSG00000034867","ENSMUSG00000034867","chr7",35586244,35639226,"+","Ankrd27"
"ENSMUSG00000030417","ENSMUSG00000030417","chr7",35641982,35647521,"-","Pdcd5"
"ENSMUSG00000043671","ENSMUSG00000043671","chr7",35685165,35754454,"-","Dpy19l3"
"ENSMUSG00000044452","ENSMUSG00000044452","chr7",35772343,35803003,"-","Zfp507"
"ENSMUSG00000021217","ENSMUSG00000021217","chr7",36698118,36773553,"+","Tshz3"
"ENSMUSG00000102516","ENSMUSG00000102516","chr7",36721846,36725853,"+","Gm38340"
"ENSMUSG00000043456","ENSMUSG00000043456","chr7",37318024,37773641,"-","Zfp536"
"ENSMUSG00000030421","ENSMUSG00000030421","chr7",37959992,38023551,"-","Uri1"
"ENSMUSG00000002068","ENSMUSG00000002068","chr7",38097984,38107534,"-","Ccne1"
"ENSMUSG00000108332","ENSMUSG00000108332","chr7",38182563,38196457,"-","D530033B14Rik"
"ENSMUSG00000054676","ENSMUSG00000054676","chr7",38183217,38197568,"+","1600014C10Rik"
"ENSMUSG00000074170","ENSMUSG00000074170","chr7",38216972,38228016,"-","Plekhf1"
"ENSMUSG00000030423","ENSMUSG00000030423","chr7",38261996,38271423,"-","Pop4"
"ENSMUSG00000046372","ENSMUSG00000046372","chr7",39445830,39449221,"-","Gm5590"
"ENSMUSG00000030424","ENSMUSG00000030424","chr7",39449518,39477413,"+","Zfp939"
"ENSMUSG00000100490","ENSMUSG00000100490","chr7",39489438,39498801,"+","Gm28455"
"ENSMUSG00000068959","ENSMUSG00000068959","chr7",39517766,39540420,"+","Zfp619"
"ENSMUSG00000104150","ENSMUSG00000104150","chr7",39542537,39544906,"-","Gm44573"
"ENSMUSG00000108621","ENSMUSG00000108621","chr7",39544402,39580589,"+","Gm37494"
"ENSMUSG00000074903","ENSMUSG00000074903","chr7",39588931,39589717,"+","Gm2058"
"ENSMUSG00000039257","ENSMUSG00000039257","chr7",40898328,40930594,"+","Vstm2b"
"ENSMUSG00000108754","ENSMUSG00000108754","chr7",41128646,41284220,"-","Gm44748"
"ENSMUSG00000078737","ENSMUSG00000078737","chr7",41155478,41159269,"+","Gm2128"
"ENSMUSG00000100376","ENSMUSG00000100376","chr7",41163777,41163965,"-","Gm28060"
"ENSMUSG00000056383","ENSMUSG00000056383","chr7",41372923,41393379,"-","AI987944"
"ENSMUSG00000074166","ENSMUSG00000074166","chr7",41478874,41499890,"-","AW146154"
"ENSMUSG00000090744","ENSMUSG00000090744","chr7",41545674,41573662,"-","Gm6871"
"ENSMUSG00000091474","ENSMUSG00000091474","chr7",41599230,41628533,"+","2610021A01Rik"
"ENSMUSG00000074165","ENSMUSG00000074165","chr7",41633203,41651530,"+","Zfp788"
"ENSMUSG00000092281","ENSMUSG00000092281","chr7",42020836,42021483,"+","Hmgb1-ps7"
"ENSMUSG00000083623","ENSMUSG00000083623","chr7",42047948,42050212,"-","Gm7224"
"ENSMUSG00000048574","ENSMUSG00000048574","chr7",42105899,42107185,"-","Ccnb1-ps"
"ENSMUSG00000092416","ENSMUSG00000092416","chr7",42473386,42505740,"-","Zfp141"
"ENSMUSG00000108446","ENSMUSG00000108446","chr7",42561414,42578235,"-","Gm44997"
"ENSMUSG00000094462","ENSMUSG00000094462","chr7",42578466,42578588,"-","Gm21028"
"ENSMUSG00000092335","ENSMUSG00000092335","chr7",42579783,42592547,"-","Zfp977"
"ENSMUSG00000074158","ENSMUSG00000074158","chr7",42609526,42642588,"-","Zfp976"
"ENSMUSG00000069727","ENSMUSG00000069727","chr7",42660105,42692742,"-","Zfp975"
"ENSMUSG00000091594","ENSMUSG00000091594","chr7",42705469,42727017,"-","Gm17067"
"ENSMUSG00000092554","ENSMUSG00000092554","chr7",42734409,42734919,"+","Gm18128"
"ENSMUSG00000092225","ENSMUSG00000092225","chr7",42816829,42867234,"-","Gm2381"
"ENSMUSG00000090751","ENSMUSG00000090751","chr7",42896711,42933822,"-","Vmn2r63"
"ENSMUSG00000044609","ENSMUSG00000044609","chr7",42953600,42954388,"-","Gm9294"
"ENSMUSG00000107181","ENSMUSG00000107181","chr7",43078051,43096419,"+","Gm17768"
"ENSMUSG00000108492","ENSMUSG00000108492","chr7",43082123,43082658,"-","Rpl18a-ps4"
"ENSMUSG00000071952","ENSMUSG00000071952","chr7",43099719,43099843,"+","Gm10351"
"ENSMUSG00000064194","ENSMUSG00000064194","chr7",43114229,43192109,"+","Zfp936"
"ENSMUSG00000074887","ENSMUSG00000074887","chr7",43214039,43226842,"+","EU599041"
"ENSMUSG00000012640","ENSMUSG00000012640","chr7",43296197,43313294,"-","Zfp715"
"ENSMUSG00000039013","ENSMUSG00000039013","chr7",43351341,43359531,"+","Siglecf"
"ENSMUSG00000004610","ENSMUSG00000004610","chr7",43444083,43457800,"+","Etfb"
"ENSMUSG00000070604","ENSMUSG00000070604","chr7",43463151,43472019,"+","Vsig10l"
"ENSMUSG00000056592","ENSMUSG00000056592","chr7",43562256,43575461,"+","Zfp658"
"ENSMUSG00000030469","ENSMUSG00000030469","chr7",43579610,43593235,"+","Zfp719"
"ENSMUSG00000055102","ENSMUSG00000055102","chr7",43607169,43618285,"+","Zfp819"
"ENSMUSG00000038888","ENSMUSG00000038888","chr7",43672016,43678298,"+","Ctu1"
"ENSMUSG00000067616","ENSMUSG00000067616","chr7",43774604,43779263,"+","Klk11"
"ENSMUSG00000030693","ENSMUSG00000030693","chr7",43781035,43785410,"+","Klk10"
"ENSMUSG00000064023","ENSMUSG00000064023","chr7",43797577,43803826,"+","Klk8"
"ENSMUSG00000066515","ENSMUSG00000066515","chr7",44198191,44202352,"+","Klk1b3"
"ENSMUSG00000063903","ENSMUSG00000063903","chr7",44225360,44229618,"+","Klk1"
"ENSMUSG00000038782","ENSMUSG00000038782","chr7",44229811,44246695,"-","1700028J19Rik"
"ENSMUSG00000045411","ENSMUSG00000045411","chr7",44246722,44252319,"+","2410002F23Rik"
"ENSMUSG00000096296","ENSMUSG00000096296","chr7",44249852,44249941,"+","Snord88c"
"ENSMUSG00000012777","ENSMUSG00000012777","chr7",44252148,44257378,"-","Acp4"
"ENSMUSG00000108705","ENSMUSG00000108705","chr7",44267789,44268716,"-","Gm18905"
"ENSMUSG00000004473","ENSMUSG00000004473","chr7",44302687,44306902,"-","Clec11a"
"ENSMUSG00000038738","ENSMUSG00000038738","chr7",44310253,44360572,"+","Shank1"
"ENSMUSG00000008028","ENSMUSG00000008028","chr7",44360043,44385820,"-","1700008O03Rik"
"ENSMUSG00000030731","ENSMUSG00000030731","chr7",44384102,44400187,"+","Syt3"
"ENSMUSG00000108372","ENSMUSG00000108372","chr7",44386400,44389154,"+","Gm45124"
"ENSMUSG00000038695","ENSMUSG00000038695","chr7",44467980,44471662,"+","Josd2"
"ENSMUSG00000008140","ENSMUSG00000008140","chr7",44489937,44496529,"-","Emc10"
"ENSMUSG00000051113","ENSMUSG00000051113","chr7",44496581,44501486,"+","Fam71e1"
"ENSMUSG00000038670","ENSMUSG00000038670","chr7",44501699,44524656,"-","Mybpc2"
"ENSMUSG00000008193","ENSMUSG00000008193","chr7",44525993,44532071,"-","Spib"
"ENSMUSG00000038644","ENSMUSG00000038644","chr7",44532746,44548849,"-","Pold1"
"ENSMUSG00000109236","ENSMUSG00000109236","chr7",44545147,44545477,"+","Gm44833"
"ENSMUSG00000060601","ENSMUSG00000060601","chr7",44549616,44553951,"-","Nr1h2"
"ENSMUSG00000002204","ENSMUSG00000002204","chr7",44572380,44586862,"+","Napsa"
"ENSMUSG00000062785","ENSMUSG00000062785","chr7",44590664,44604754,"+","Kcnc3"
"ENSMUSG00000108832","ENSMUSG00000108832","chr7",44593577,44595879,"-","Gm44832"
"ENSMUSG00000030739","ENSMUSG00000030739","chr7",44605803,44670843,"-","Myh14"
"ENSMUSG00000048012","ENSMUSG00000048012","chr7",44731480,44751050,"-","Zfp473"
"ENSMUSG00000002205","ENSMUSG00000002205","chr7",44748413,44777515,"+","Vrk3"
"ENSMUSG00000038539","ENSMUSG00000038539","chr7",44812256,44816658,"-","Atf5"
"ENSMUSG00000109511","ENSMUSG00000109511","chr7",44816088,44830812,"+","Nup62"
"ENSMUSG00000074141","ENSMUSG00000074141","chr7",44816387,44840809,"+","Il4i1"
"ENSMUSG00000038520","ENSMUSG00000038520","chr7",44834623,44849079,"-","Tbc1d17"
"ENSMUSG00000011096","ENSMUSG00000011096","chr7",44848991,44855421,"+","Akt1s1"
"ENSMUSG00000002963","ENSMUSG00000002963","chr7",44857139,44862992,"+","Pnkp"
"ENSMUSG00000038502","ENSMUSG00000038502","chr7",44863067,44869788,"-","Ptov1"
